ticker,week_monday,week_friday,asof_target,drop_reason,detail
AAPL,2024-11-18,2024-11-21,2024-11-20,too_few_in_prn_band,kept=4 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2024-11-18,2024-11-21,2024-11-20,too_few_in_prn_band,kept=6 need=7 inside=10 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
NVDA,2024-11-18,2024-11-20,2024-11-19,empty_option_chain,asof=2024-11-19 exp_req=2024-11-20 exp_used=2024-11-20 conv=FRI
TSLA,2024-11-18,2024-11-20,2024-11-19,empty_option_chain,asof=2024-11-19 exp_req=2024-11-20 exp_used=2024-11-20 conv=FRI
NFLX,2024-11-18,2024-11-20,2024-11-19,empty_option_chain,asof=2024-11-19 exp_req=2024-11-20 exp_used=2024-11-20 conv=FRI
AAPL,2024-11-18,2024-11-22,2024-11-21,too_few_in_prn_band,kept=3 need=7 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2024-11-18,2024-11-22,2024-11-21,too_few_in_prn_band,kept=3 need=7 inside=11 used_abslogm=0.0800 spot_scale=split_adj moneyness_ref=forward
MSFT,2024-11-18,2024-11-22,2024-11-21,too_few_in_prn_band,kept=6 need=7 inside=20 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMZN,2024-11-18,2024-11-22,2024-11-21,too_few_in_prn_band,kept=4 need=7 inside=10 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
GOOGL,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
MSFT,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
META,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
AMZN,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
PLTR,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
NVDA,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
TSLA,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
NFLX,2024-11-25,2024-11-26,2024-11-25,empty_option_chain,asof=2024-11-25 exp_req=2024-11-26 exp_used=2024-11-26 conv=FRI
AAPL,2024-11-25,2024-11-27,2024-11-26,empty_option_chain,asof=2024-11-26 exp_req=2024-11-27 exp_used=2024-11-27 conv=FRI
GOOGL,2024-11-25,2024-11-27,2024-11-26,empty_option_chain,asof=2024-11-26 exp_req=2024-11-27 exp_used=2024-11-27 conv=FRI
MSFT,2024-11-25,2024-11-27,2024-11-26,empty_option_chain,asof=2024-11-26 exp_req=2024-11-27 exp_used=2024-11-27 conv=FRI
META,2024-11-25,2024-11-27,2024-11-26,empty_option_chain,asof=2024-11-26 exp_req=2024-11-27 exp_used=2024-11-27 conv=FRI
AMZN,2024-11-25,2024-11-27,2024-11-26,empty_option_chain,asof=2024-11-26 exp_req=2024-11-27 exp_used=2024-11-27 conv=FRI
