ticker,week_monday,week_friday,asof_target,drop_reason,detail
AAPL,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
GOOGL,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
MSFT,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
META,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
AMZN,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
PLTR,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
NVDA,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
TSLA,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
MSFT,2025-07-07,2025-07-11,2025-07-10,too_few_in_prn_band,kept=5 need=6 inside=25 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
NFLX,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
QQQ,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
IWM,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
SPY,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
AMD,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
INTC,2025-06-30,2025-07-04,2025-07-03,empty_option_chain,asof=2025-07-03 exp_req=2025-07-04 exp_used=2025-07-04 conv=FRI
NVDA,2025-07-07,2025-07-11,2025-07-10,too_few_in_prn_band,kept=4 need=6 inside=11 used_abslogm=0.0800 spot_scale=split_adj moneyness_ref=forward
AMZN,2025-07-14,2025-07-18,2025-07-17,too_few_in_prn_band,kept=4 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AMD,2025-07-14,2025-07-18,2025-07-17,too_few_in_prn_band,kept=5 need=6 inside=11 used_abslogm=0.0800 spot_scale=split_adj moneyness_ref=forward
NVDA,2025-07-21,2025-07-25,2025-07-24,too_few_in_prn_band,kept=4 need=6 inside=10 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
AMD,2025-07-21,2025-07-25,2025-07-24,too_few_in_prn_band,kept=5 need=6 inside=11 used_abslogm=0.0800 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-07-28,2025-08-01,2025-07-31,too_few_in_prn_band,kept=5 need=6 inside=10 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
INTC,2025-07-28,2025-08-01,2025-07-31,thin_band_inside,inside=8 raw=8 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=19.801283 spot=19.799999 splits_preload=0
AMZN,2025-08-11,2025-08-15,2025-08-14,too_few_in_prn_band,kept=5 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
INTC,2025-08-04,2025-08-08,2025-08-07,thin_band_inside,inside=9 raw=9 spot_scale=split_adj used_abslogm=0.1100 moneyness_ref=forward spot_ref=19.771282 spot=19.770000 splits_preload=0
AMZN,2025-08-25,2025-08-29,2025-08-28,too_few_in_prn_band,kept=4 need=6 inside=11 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
GOOGL,2025-09-08,2025-09-12,2025-09-11,too_few_in_prn_band,kept=5 need=6 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-09-15,2025-09-19,2025-09-18,too_few_in_prn_band,kept=5 need=6 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-10-06,2025-10-10,2025-10-09,too_few_in_prn_band,kept=5 need=6 inside=12 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
PLTR,2025-10-20,2025-10-24,2025-10-23,too_few_in_prn_band,kept=5 need=6 inside=10 used_abslogm=0.0700 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-11-10,2025-11-14,2025-11-13,too_few_in_prn_band,kept=5 need=6 inside=13 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
GOOGL,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
MSFT,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
META,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
AMZN,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
PLTR,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
NVDA,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
TSLA,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
NFLX,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
QQQ,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
IWM,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
SPY,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
AMD,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
INTC,2025-11-24,2025-11-28,2025-11-27,bad_T_days,0
AAPL,2025-12-15,2025-12-19,2025-12-18,too_few_in_prn_band,kept=5 need=6 inside=13 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
AAPL,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
GOOGL,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
MSFT,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
META,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
AMZN,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
PLTR,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
NVDA,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
TSLA,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
NFLX,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
QQQ,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
IWM,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
SPY,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
AMD,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
INTC,2025-12-22,2025-12-26,2025-12-25,bad_T_days,0
AAPL,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
GOOGL,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
MSFT,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
META,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
AMZN,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
PLTR,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
NVDA,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
TSLA,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
NFLX,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
QQQ,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
IWM,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
SPY,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
AMD,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
INTC,2025-12-29,2026-01-02,2026-01-01,bad_T_days,0
AAPL,2026-01-05,2026-01-09,2026-01-08,too_few_in_prn_band,kept=5 need=6 inside=13 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
NFLX,2026-01-05,2026-01-09,2026-01-08,too_few_in_prn_band,kept=5 need=6 inside=16 used_abslogm=0.0600 spot_scale=split_adj moneyness_ref=forward
